state_ut,pocso_total_I,pocso_total_V,pocso_total_R,s4_6_total_I,s4_6_total_V,s4_6_total_R,s4_6_girls_I,s4_6_girls_V,s4_6_girls_R,s4_6_boys_I,s4_6_boys_V,s4_6_boys_R
Andhra Pradesh,1918,1921,12.7,858,861,5.7,855,858,5.7,3,3,0.0
Arunachal Pradesh,57,60,9.7,43,43,7.3,42,42,7.1,1,1,0.2
Assam,2555,2580,21.2,1822,1829,15.1,1816,1823,15.0,6,6,0.0
Bihar,2323,2323,4.9,925,925,1.9,925,925,1.9,0,0,0.0
Chhattisgarh,1989,2031,20.4,1503,1505,15.4,1503,1505,15.4,0,0,0.0
Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Gujarat,2568,2594,12.3,2279,2301,10.9,2279,2301,10.9,0,0,0.0
Haryana,2142,2157,23.5,1444,1449,15.8,1372,1377,15.0,72,72,0.8
Himachal Pradesh,6,6,0.3,1,1,0.0,0,0,0.0,1,1,0.0
Jharkhand,829,830,6.0,657,657,4.7,657,657,4.7,0,0,0.0
Karnataka,3878,3992,20.0,3101,3117,16.0,3099,3115,16.0,2,2,0.0
Kerala,4295,4314,45.7,1799,1808,19.1,1719,1725,18.3,80,83,0.9
Madhya Pradesh,6517,6559,22.7,3866,3893,13.4,3849,3876,13.4,17,17,0.1
Maharashtra,8639,8761,23.9,4600,4672,12.7,4594,4666,12.7,6,6,0.0
Manipur,55,57,5.3,43,45,4.2,43,45,4.2,0,0,0.0
Meghalaya,404,434,29.3,328,355,23.8,322,331,23.3,6,24,0.4
Mizoram,117,119,27.7,75,76,17.8,72,73,17.0,3,3,0.7
Nagaland,16,16,2.0,7,7,0.9,6,6,0.7,1,1,0.1
Odisha,2381,2391,16.5,1631,1631,11.3,1631,1631,11.3,0,0,0.0
Punjab,809,837,9.3,616,640,7.0,616,640,7.0,0,0,0.0
Rajasthan,3602,3609,12.8,1867,1868,6.6,1865,1866,6.6,2,2,0.0
Sikkim,86,91,41.8,65,66,31.6,65,66,31.6,0,0,0.0
Tamil Nadu,4581,4728,22.2,3407,3465,16.5,3347,3391,16.2,60,74,0.3
Telangana,3154,3169,27.7,1760,1760,15.5,1758,1758,15.5,2,2,0.0
Tripura,133,138,10.8,83,86,6.8,82,85,6.7,1,1,0.1
Uttar Pradesh,8706,8966,10.2,3728,3855,4.4,3645,3772,4.3,83,83,0.1
Uttarakhand,823,830,21.7,646,646,17.0,635,635,16.7,11,11,0.3
West Bengal,2760,2763,9.2,1822,1823,6.1,1798,1799,6.0,24,24,0.1
TOTAL STATE(S),65343,66276,15.1,38976,39384,9.0,38595,38968,8.9,381,416,0.1
A&N Islands,96,97,85.5,76,77,67.7,75,76,66.8,1,1,0.9
Chandigarh,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
D&N Haveli and Daman & Diu,56,58,29.1,51,51,26.5,50,50,26.0,1,1,0.5
Delhi,1757,1760,31.7,1055,1057,19.1,1052,1054,19.0,3,3,0.1
Jammu & Kashmir,335,337,6.8,214,215,4.4,214,215,4.4,0,0,0.0
Ladakh,3,3,3.5,3,3,3.5,3,3,3.5,0,0,0.0
Lakshadweep,11,11,55.3,2,2,10.0,1,1,5.0,1,1,5.0
Puducherry,93,94,26.0,57,57,15.9,56,56,15.6,1,1,0.3
TOTAL UT(S),2351,2360,20.4,1458,1462,12.6,1451,1455,12.6,7,7,0.1
TOTAL ALL INDIA,67694,68636,15.2,40434,40846,9.1,40046,40423,9.0,388,423,0.1
