state_ut,known_total,family_members,family_friends_neighbours_known,friends_online_partners,unknown,total,known_share_pct
Andhra Pradesh,853,93,335,425,5,858,99.4
Arunachal Pradesh,36,4,22,10,7,43,83.7
Assam,1691,119,1094,478,131,1822,92.8
Bihar,826,22,386,418,99,925,89.3
Chhattisgarh,1493,77,422,994,10,1503,99.3
Goa,0,0,0,0,0,0,-
Gujarat,2259,68,483,1708,20,2279,99.1
Haryana,1261,94,745,422,183,1444,87.3
Himachal Pradesh,1,1,0,0,0,1,100.0
Jharkhand,657,10,326,321,0,657,100.0
Karnataka,3096,456,1135,1505,5,3101,99.8
Kerala,1787,361,492,934,12,1799,99.3
Madhya Pradesh,3756,239,1267,2250,110,3866,97.2
Maharashtra,4597,210,846,3541,3,4600,99.9
Manipur,42,7,6,29,1,43,97.7
Meghalaya,277,77,134,66,51,328,84.5
Mizoram,75,20,51,4,0,75,100.0
Nagaland,6,1,4,1,1,7,85.7
Odisha,1631,0,1222,409,0,1631,100.0
Punjab,610,58,168,384,6,616,99.0
Rajasthan,1751,169,985,597,116,1867,93.8
Sikkim,64,12,31,21,1,65,98.5
Tamil Nadu,3404,354,770,2280,3,3407,99.9
Telangana,1757,157,322,1278,3,1760,99.8
Tripura,83,22,38,23,0,83,100.0
Uttar Pradesh,3539,278,1628,1633,189,3728,94.9
Uttarakhand,644,79,390,175,2,646,99.7
West Bengal,1444,75,1212,157,378,1822,79.3
TOTAL STATE(S),37640,3063,14514,20063,1336,38976,96.6
A&N Islands,76,6,18,52,0,76,100.0
Chandigarh,0,0,0,0,0,0,-
D&N Haveli and Daman & Diu,51,3,13,35,0,51,100.0
Delhi,1051,131,451,469,4,1055,99.6
Jammu & Kashmir,196,16,130,50,18,214,91.6
Ladakh,3,1,2,0,0,3,100.0
Lakshadweep,2,0,0,2,0,2,100.0
Puducherry,57,4,18,35,0,57,100.0
TOTAL UT(S),1436,161,632,643,22,1458,98.5
TOTAL ALL INDIA,39076,3224,15146,20706,1358,40434,96.6
