state_ut,cac_2022,cac_2023,cac_2024,child_population_lakh_2011,cac_rate_2024,chargesheeting_rate_2024
Andhra Pradesh,3308,2844,2633,151.1,17.4,88.5
Arunachal Pradesh,143,176,152,5.9,25.8,73.7
Assam,4084,10174,5871,120.8,48.6,81.9
Bihar,8122,9906,13349,475.0,28.1,61.1
Chhattisgarh,6177,5904,6964,97.5,71.4,55.7
Goa,184,196,207,3.8,54.2,58.8
Gujarat,4964,5083,5394,209.2,25.8,77.9
Haryana,6138,6401,7547,91.2,82.8,37.0
Himachal Pradesh,740,704,794,21.5,36.9,41.6
Jharkhand,1917,1626,1555,138.4,11.2,89.0
Karnataka,7988,8929,9568,193.5,49.5,55.4
Kerala,5640,5903,5929,94.1,63.0,92.7
Madhya Pradesh,20415,22393,21908,287.6,76.2,55.0
Maharashtra,20762,22390,24171,361.1,66.9,52.6
Manipur,120,85,107,10.3,10.4,71.8
Meghalaya,496,512,556,13.8,40.3,71.5
Mizoram,135,146,176,4.2,41.7,96.3
Nagaland,35,26,52,8.2,6.3,87.2
Odisha,8240,8577,9528,144.1,66.1,35.5
Punjab,2494,2462,2468,87.4,28.2,68.5
Rajasthan,9370,10577,8992,281.4,32.0,49.2
Sikkim,159,139,122,2.1,59.3,66.9
Tamil Nadu,6580,6968,10046,206.6,48.6,93.6
Telangana,5657,6113,6767,113.8,59.5,68.2
Tripura,220,255,270,12.3,22.0,89.2
Uttar Pradesh,18682,18852,22222,853.3,26.0,70.5
Uttarakhand,1706,1710,2068,38.0,54.4,56.1
West Bengal,8950,8853,9044,300.0,30.1,77.2
TOTAL STATE(S),153426,167904,178460,4326.1,41.3,62.7
A&N Islands,146,161,138,1.1,122.9,89.1
Chandigarh,224,294,255,3.2,78.7,36.4
D&N Haveli and Daman & Diu,107,123,84,1.9,43.7,51.8
Delhi,7468,7769,7662,55.4,138.4,31.7
Jammu & Kashmir,920,910,887,49.1,18.1,55.4
Ladakh,8,7,17,0.8,20.1,75.0
Lakshadweep,11,11,6,0.2,30.1,100.0
Puducherry,139,156,193,3.6,53.9,90.6
TOTAL UT(S),9023,9431,9242,115.4,80.1,36.3
TOTAL ALL INDIA,162449,177335,187702,4441.5,42.3,61.4
