state_ut,pocso_total_I,pocso_total_V,pocso_total_R,s4_6_total_I,s4_6_total_V,s4_6_total_R,s4_6_girls_I,s4_6_girls_V,s4_6_girls_R,s4_6_boys_I,s4_6_boys_V,s4_6_boys_R
Andhra Pradesh,1784,1794,11.8,943,946,6.2,939,942,6.2,4,4,0.0
Arunachal Pradesh,30,48,5.1,23,41,3.9,23,41,3.9,0,0,0.0
Assam,2920,2958,24.2,2197,2226,18.2,2187,2216,18.1,10,10,0.1
Bihar,2468,2570,5.2,1030,1064,2.2,1028,1062,2.2,2,2,0.0
Chhattisgarh,2212,2240,22.7,1770,1790,18.2,1764,1784,18.1,6,6,0.1
Goa,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Gujarat,2699,2703,12.9,2449,2452,11.7,2436,2439,11.6,13,13,0.1
Haryana,2116,2138,23.2,1557,1568,17.1,1476,1487,16.2,81,81,0.9
Himachal Pradesh,19,20,0.9,15,16,0.7,11,11,0.5,4,5,0.2
Jharkhand,825,825,6.0,562,562,4.1,562,562,4.1,0,0,0.0
Karnataka,4118,4161,21.3,3278,3286,16.9,3269,3276,16.9,9,10,0.0
Kerala,4513,4536,48.0,2088,2094,22.2,1839,1841,19.5,249,253,2.6
Madhya Pradesh,5861,5878,20.4,3721,3730,12.9,3698,3707,12.9,23,23,0.1
Maharashtra,9432,9664,26.1,4829,4980,13.4,4722,4812,13.1,107,168,0.3
Manipur,63,70,6.1,50,54,4.9,50,54,4.9,0,0,0.0
Meghalaya,424,429,30.7,348,353,25.2,345,350,25.0,3,3,0.2
Mizoram,153,164,36.4,103,106,24.5,100,103,23.8,3,3,0.7
Nagaland,18,19,2.2,12,12,1.5,11,11,1.3,1,1,0.1
Odisha,2497,2497,17.3,1786,1786,12.4,1786,1786,12.4,0,0,0.0
Punjab,663,681,7.6,558,575,6.4,542,559,6.2,16,16,0.2
Rajasthan,2288,2343,8.1,1626,1646,5.8,1612,1632,5.7,14,14,0.0
Sikkim,77,103,36.7,54,60,25.7,54,60,25.7,0,0,0.0
Tamil Nadu,6969,7144,33.7,5320,5359,25.8,5256,5285,25.4,64,74,0.3
Telangana,2902,2943,25.5,2078,2103,18.3,2076,2101,18.2,2,2,0.0
Tripura,166,171,13.5,116,120,9.4,115,117,9.3,1,3,0.1
Uttar Pradesh,8087,8110,9.5,3671,3672,4.3,3570,3571,4.2,101,101,0.1
Uttarakhand,950,953,25.0,631,633,16.6,614,616,16.2,17,17,0.4
West Bengal,2799,2823,9.3,1856,1877,6.2,1830,1851,6.1,26,26,0.1
TOTAL STATE(S),67053,67985,15.5,42671,43111,9.9,41915,42276,9.7,756,835,0.2
A&N Islands,91,91,82.7,77,77,70.0,75,75,68.2,2,2,1.8
Chandigarh,8,8,2.5,2,2,0.6,0,0,0.0,2,2,0.6
D&N Haveli and Daman & Diu,29,29,15.3,23,23,12.1,22,22,11.6,1,1,0.5
Delhi,1553,1556,28.0,1038,1039,18.7,992,993,17.9,46,46,0.8
Jammu & Kashmir,308,308,6.3,228,228,4.6,222,222,4.5,6,6,0.1
Ladakh,6,6,7.5,4,4,5.0,4,4,5.0,0,0,0.0
Lakshadweep,6,6,30.0,1,1,5.0,1,1,5.0,0,0,0.0
Puducherry,137,143,38.1,82,82,22.8,82,82,22.8,0,0,0.0
TOTAL UT(S),2138,2147,18.5,1455,1456,12.6,1398,1399,12.1,57,57,0.5
TOTAL ALL INDIA,69191,70132,15.6,44126,44567,9.9,43313,43675,9.8,813,892,0.2
