year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2026,2026-07-30,2026-07-30,state,TN,Tamil Nadu,court_pendency,cases,stage,pending_trial,18518,cases,MADRAS_HC,2,2026-07-30,2026-09-24,Status report — POCSO trials pending in Tamil Nadu,Madras HC judgment 30 Jul 2026,https://www.livelaw.in/high-court/madras-high-court/madras-high-court-direction-speedy-trial-crime-against-women-and-children-543488,"Status report placed before the Madras High Court; judgment dated 30 Jul 2026. Sec 35(2) POCSO Act: trial to be completed within one year of cognizance as far as possible. District-wise report ordered — ingest when filed."
2026,2026-07-30,2026-07-30,state,TN,Tamil Nadu,court_pendency,cases,stage,pending_over_1yr,10202,cases,MADRAS_HC,2,2026-07-30,2026-09-24,Status report — POCSO trials pending in Tamil Nadu,Madras HC judgment 30 Jul 2026,https://www.livelaw.in/high-court/madras-high-court/madras-high-court-direction-speedy-trial-crime-against-women-and-children-543488,"Status report placed before the Madras High Court; judgment dated 30 Jul 2026. Sec 35(2) POCSO Act: trial to be completed within one year of cognizance as far as possible. District-wise report ordered — ingest when filed."
2026,2026-07-30,2026-07-30,state,TN,Tamil Nadu,court_pendency,share_pct,stage,pending_over_1yr_pct,54.06,percent,MADRAS_HC,2,2026-07-30,2026-09-24,Status report — POCSO trials pending in Tamil Nadu,Madras HC judgment 30 Jul 2026,https://www.livelaw.in/high-court/madras-high-court/madras-high-court-direction-speedy-trial-crime-against-women-and-children-543488,"Status report placed before the Madras High Court; judgment dated 30 Jul 2026. Sec 35(2) POCSO Act: trial to be completed within one year of cognizance as far as possible. District-wise report ordered — ingest when filed."
