year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2020,2020-01-01,2020-12-31,state,TN,Tamil Nadu,tn_pocso_registered,cases,none,,3090.0,cases,TN_POLICY_NOTE,1,2020-12-31,2026-09-24,Police Policy Note 2025-26 — crime statistics table,Policy Note 2025-26,https://thesouthfirst.com/tamilnadu/reported-pocso-cases-in-tamil-nadu-rise-125-times-in-4-years/,From the TN Home (Police) Policy Note 2025-26 (tabled 28 Apr 2025). Link is press coverage of the Note until the Note PDF is committed to data/raw/tn_policy_note/. State counting rules differ from NCRB.
2022,2022-01-01,2022-12-31,state,TN,Tamil Nadu,tn_pocso_registered,cases,none,,4968.0,cases,TN_POLICY_NOTE,1,2022-12-31,2026-09-24,Police Policy Note 2025-26 — crime statistics table,Policy Note 2025-26,https://thesouthfirst.com/tamilnadu/reported-pocso-cases-in-tamil-nadu-rise-125-times-in-4-years/,From the TN Home (Police) Policy Note 2025-26 (tabled 28 Apr 2025). Link is press coverage of the Note until the Note PDF is committed to data/raw/tn_policy_note/. State counting rules differ from NCRB.
2023,2023-01-01,2023-12-31,state,TN,Tamil Nadu,tn_pocso_registered,cases,none,,4581.0,cases,TN_POLICY_NOTE,1,2023-12-31,2026-09-24,Police Policy Note 2025-26 — crime statistics table,Policy Note 2025-26,https://thesouthfirst.com/tamilnadu/reported-pocso-cases-in-tamil-nadu-rise-125-times-in-4-years/,From the TN Home (Police) Policy Note 2025-26 (tabled 28 Apr 2025). Link is press coverage of the Note until the Note PDF is committed to data/raw/tn_policy_note/. State counting rules differ from NCRB.
2024,2024-01-01,2024-12-31,state,TN,Tamil Nadu,tn_pocso_registered,cases,none,,6969.0,cases,TN_POLICY_NOTE,1,2024-12-31,2026-09-24,Police Policy Note 2025-26 — crime statistics table,Policy Note 2025-26,https://thesouthfirst.com/tamilnadu/reported-pocso-cases-in-tamil-nadu-rise-125-times-in-4-years/,From the TN Home (Police) Policy Note 2025-26 (tabled 28 Apr 2025). Link is press coverage of the Note until the Note PDF is committed to data/raw/tn_policy_note/. State counting rules differ from NCRB.
