year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2025,2025-01-01,2025-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,other,2406.0,cases,PRESS,3,2025-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
2025,2025-01-01,2025-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,rape,7407.0,cases,PRESS,3,2025-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
2025,2025-01-01,2025-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,total,9813.0,cases,PRESS,3,2025-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
2026,2026-01-01,2026-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,other,1843.0,cases,PRESS,3,2026-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
2026,2026-01-01,2026-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,rape,4648.0,cases,PRESS,3,2026-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
2026,2026-01-01,2026-07-31,state,TN,Tamil Nadu,tn_pocso_ytd,cases,offence_group,total,6491.0,cases,PRESS,3,2026-07-31,2026-09-24,Police figures quoted in press,Deccan Chronicle 13 Sep 2026,https://www.deccanchronicle.com/southern-states/tamil-nadu/crimes-against-women-decline-in-tamil-nadu-till-july-compared-to-2025-1987149,"TIER 3: figures reported by police to the press (Deccan Chronicle, 13 Sep 2026). Not yet in an official statistical publication. Excluded from headline numbers until confirmed by Policy Note 2026-27 or SCRB."
