year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2024,2024-01-01,2024-12-31,state,LA,Ladakh,cac_court,pendency_pct,none,,100.0,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,LD,Lakshadweep,cac_court,cases,stage,pending_trial_end_year,66.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,LD,Lakshadweep,cac_court,cases,stage,trials_completed,1.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,LD,Lakshadweep,cac_court,conviction_rate_pct,none,,0.0,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,LD,Lakshadweep,cac_court,pendency_pct,none,,98.5,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MH,Maharashtra,cac_court,cases,stage,pending_trial_end_year,85879.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MH,Maharashtra,cac_court,cases,stage,trials_completed,3718.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MH,Maharashtra,cac_court,conviction_rate_pct,none,,17.6,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MH,Maharashtra,cac_court,pendency_pct,none,,95.7,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,ML,Meghalaya,cac_court,cases,stage,pending_trial_end_year,2226.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,ML,Meghalaya,cac_court,cases,stage,trials_completed,279.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,ML,Meghalaya,cac_court,conviction_rate_pct,none,,41.9,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,ML,Meghalaya,cac_court,pendency_pct,none,,88.4,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MN,Manipur,cac_court,cases,stage,pending_trial_end_year,575.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MN,Manipur,cac_court,cases,stage,trials_completed,21.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MN,Manipur,cac_court,conviction_rate_pct,none,,19.0,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MN,Manipur,cac_court,pendency_pct,none,,95.8,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MP,Madhya Pradesh,cac_court,cases,stage,pending_trial_end_year,68566.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MP,Madhya Pradesh,cac_court,cases,stage,trials_completed,7192.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MP,Madhya Pradesh,cac_court,conviction_rate_pct,none,,39.3,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MP,Madhya Pradesh,cac_court,pendency_pct,none,,90.0,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MZ,Mizoram,cac_court,cases,stage,pending_trial_end_year,767.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MZ,Mizoram,cac_court,cases,stage,trials_completed,63.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MZ,Mizoram,cac_court,conviction_rate_pct,none,,87.3,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,MZ,Mizoram,cac_court,pendency_pct,none,,92.1,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,NL,Nagaland,cac_court,cases,stage,pending_trial_end_year,220.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,NL,Nagaland,cac_court,cases,stage,trials_completed,14.0,cases,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,NL,Nagaland,cac_court,conviction_rate_pct,none,,71.4,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.6 (PDF p. 516),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
