year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2026,2026-04-30,2026-04-30,country,IN,India,ftsc_capacity,courts,court_type,all_ftsc,775.0,courts,MoLJ,2,2026-04-30,2026-09-24,Rajya Sabha written answer — FTSC scheme,Parliament answer Jul 2026,https://www.businesstoday.in/india/story/fast-track-courts-disposed-of-over-3-66-lakh-cases-since-2019-but-pendency-remains-above-2-45-lakh-545221-2026-07-25,Ministry of Law & Justice written reply in the Rajya Sabha (Jul 2026). Link is press coverage; replace with the sansad.in answer PDF once downloaded. FTSC figures cover rape + POCSO cases in fast-track special courts only.
2026,2026-04-30,2026-04-30,country,IN,India,ftsc_capacity,courts,court_type,exclusive_pocso,398.0,courts,MoLJ,2,2026-04-30,2026-09-24,Rajya Sabha written answer — FTSC scheme,Parliament answer Jul 2026,https://www.businesstoday.in/india/story/fast-track-courts-disposed-of-over-3-66-lakh-cases-since-2019-but-pendency-remains-above-2-45-lakh-545221-2026-07-25,Ministry of Law & Justice written reply in the Rajya Sabha (Jul 2026). Link is press coverage; replace with the sansad.in answer PDF once downloaded. FTSC figures cover rape + POCSO cases in fast-track special courts only.
